"all","tro","pos","neg","tropos","troneg"
4,9,5,6,11,9
1,7,2,6,4,12
1,7,5,6,4,12
7,1,4,6,1,13
7,1,4,6,1,13
7,1,4,6,1,13
7,1,2,6,1,13
7,1,4,6,1,13
9,6,4,6,2,6
1,7,5,6,4,12
7,1,4,6,1,13
7,1,2,6,1,13
7,1,2,6,1,13
14,8,5,6,8,6
7,1,2,6,1,13
14,8,2,6,8,6
14,8,5,6,8,6
14,8,5,6,8,6
1,7,4,6,4,12
9,6,2,6,2,3
9,6,2,6,2,3
9,6,4,6,2,3
9,6,5,6,2,6
9,6,2,6,2,3
9,6,4,6,2,3
14,6,4,6,2,6
14,8,5,6,8,6
1,7,4,6,4,12
9,6,5,6,2,6
14,8,4,6,8,6
14,8,4,6,8,6
14,8,4,6,8,6
12,10,4,4,3,5
12,10,4,4,3,5
2,5,5,3,6,10
13,9,4,3,11,2
6,3,1,3,5,8
3,4,5,1,9,1
4,9,2,6,11,9
11,4,5,3,9,7
2,5,5,3,6,10
11,4,5,3,9,7
11,4,5,3,9,7
11,4,5,3,9,7
12,10,4,3,3,5
11,4,5,4,9,8
12,10,4,3,3,5
12,10,4,3,3,5
12,10,4,3,3,5
13,9,1,3,5,5
12,10,4,3,3,5
11,4,5,4,9,8
11,4,5,4,9,8
12,10,4,3,3,5
6,4,1,3,5,7
12,10,4,3,3,5
12,10,4,3,3,5
12,10,4,3,3,5
11,4,4,3,9,7
11,4,4,3,9,7
8,5,4,1,6,4
10,3,1,2,5,11
12,10,4,3,3,5
6,10,6,3,5,5
6,4,1,3,5,7
10,10,1,2,5,11
12,10,1,3,3,5
6,3,1,4,5,8
10,3,1,2,5,11
12,10,4,3,3,5
2,5,4,4,6,10
5,3,3,5,7,1
12,10,5,3,3,5
12,4,4,3,9,7
10,4,4,2,9,11
13,9,1,4,11,2
2,5,5,4,6,10
12,10,4,3,3,5
11,4,5,4,9,8
10,4,1,2,9,11
12,10,4,3,3,5
13,9,4,4,11,2
12,10,4,4,3,5
11,4,5,3,9,7
11,4,5,3,9,7
12,10,4,3,3,5
11,4,5,3,9,7
12,10,4,3,3,5
12,10,4,3,3,5
11,4,5,4,9,8
5,3,3,5,7,1
12,10,4,3,3,5
11,4,5,4,9,8
11,4,4,4,9,8
4,9,4,6,11,9
1,7,4,6,4,12
1,5,4,6,6,12
4,2,5,6,10,9
4,2,5,6,10,9
4,2,4,6,10,9
4,9,5,6,11,9
4,9,2,6,11,9
4,9,5,6,11,9
4,9,5,6,11,9
4,9,5,6,11,9
4,2,5,6,10,9
